SOURCE	TARGET	count
B_cell	B_cell	20
B_cell	BC_cell	44
B_cell	BCS_Fibroblast	160
B_cell	Dendritic_cell	65
B_cell	Endothelium	158
B_cell	Epithelium	134
B_cell	Macrophage	140
B_cell	Myeloid_Dendritic_cell	44
B_cell	NK_NKT_cell	82
B_cell	Neutrophil	110
B_cell	Plasma_cell	28
B_cell	T_cell	67
BC_cell	B_cell	24
BC_cell	BC_cell	62
BC_cell	BCS_Fibroblast	177
BC_cell	Dendritic_cell	56
BC_cell	Endothelium	186
BC_cell	Epithelium	164
BC_cell	Macrophage	145
BC_cell	Myeloid_Dendritic_cell	30
BC_cell	NK_NKT_cell	68
BC_cell	Neutrophil	119
BC_cell	Plasma_cell	14
BC_cell	T_cell	55
BCS_Fibroblast	B_cell	84
BCS_Fibroblast	BC_cell	248
BCS_Fibroblast	BCS_Fibroblast	417
BCS_Fibroblast	Dendritic_cell	159
BCS_Fibroblast	Endothelium	379
BCS_Fibroblast	Epithelium	384
BCS_Fibroblast	Macrophage	361
BCS_Fibroblast	Myeloid_Dendritic_cell	117
BCS_Fibroblast	NK_NKT_cell	205
BCS_Fibroblast	Neutrophil	232
BCS_Fibroblast	Plasma_cell	100
BCS_Fibroblast	T_cell	171
Dendritic_cell	B_cell	33
Dendritic_cell	BC_cell	51
Dendritic_cell	BCS_Fibroblast	137
Dendritic_cell	Dendritic_cell	62
Dendritic_cell	Endothelium	125
Dendritic_cell	Epithelium	127
Dendritic_cell	Macrophage	131
Dendritic_cell	Myeloid_Dendritic_cell	59
Dendritic_cell	NK_NKT_cell	77
Dendritic_cell	Neutrophil	116
Dendritic_cell	Plasma_cell	39
Dendritic_cell	T_cell	61
Endothelium	B_cell	106
Endothelium	BC_cell	203
Endothelium	BCS_Fibroblast	351
Endothelium	Dendritic_cell	149
Endothelium	Endothelium	341
Endothelium	Epithelium	329
Endothelium	Macrophage	314
Endothelium	Myeloid_Dendritic_cell	142
Endothelium	NK_NKT_cell	203
Endothelium	Neutrophil	238
Endothelium	Plasma_cell	96
Endothelium	T_cell	170
Epithelium	B_cell	70
Epithelium	BC_cell	175
Epithelium	BCS_Fibroblast	331
Epithelium	Dendritic_cell	119
Epithelium	Endothelium	308
Epithelium	Epithelium	328
Epithelium	Macrophage	261
Epithelium	Myeloid_Dendritic_cell	101
Epithelium	NK_NKT_cell	159
Epithelium	Neutrophil	175
Epithelium	Plasma_cell	69
Epithelium	T_cell	136
Macrophage	B_cell	92
Macrophage	BC_cell	158
Macrophage	BCS_Fibroblast	340
Macrophage	Dendritic_cell	124
Macrophage	Endothelium	342
Macrophage	Epithelium	293
Macrophage	Macrophage	299
Macrophage	Myeloid_Dendritic_cell	133
Macrophage	NK_NKT_cell	180
Macrophage	Neutrophil	234
Macrophage	Plasma_cell	93
Macrophage	T_cell	151
Myeloid_Dendritic_cell	B_cell	45
Myeloid_Dendritic_cell	BC_cell	65
Myeloid_Dendritic_cell	BCS_Fibroblast	161
Myeloid_Dendritic_cell	Dendritic_cell	74
Myeloid_Dendritic_cell	Endothelium	153
Myeloid_Dendritic_cell	Epithelium	142
Myeloid_Dendritic_cell	Macrophage	163
Myeloid_Dendritic_cell	Myeloid_Dendritic_cell	60
Myeloid_Dendritic_cell	NK_NKT_cell	101
Myeloid_Dendritic_cell	Neutrophil	158
Myeloid_Dendritic_cell	Plasma_cell	34
Myeloid_Dendritic_cell	T_cell	85
NK_NKT_cell	B_cell	48
NK_NKT_cell	BC_cell	62
NK_NKT_cell	BCS_Fibroblast	151
NK_NKT_cell	Dendritic_cell	83
NK_NKT_cell	Endothelium	156
NK_NKT_cell	Epithelium	119
NK_NKT_cell	Macrophage	167
NK_NKT_cell	Myeloid_Dendritic_cell	77
NK_NKT_cell	NK_NKT_cell	106
NK_NKT_cell	Neutrophil	156
NK_NKT_cell	Plasma_cell	38
NK_NKT_cell	T_cell	93
Neutrophil	B_cell	83
Neutrophil	BC_cell	96
Neutrophil	BCS_Fibroblast	210
Neutrophil	Dendritic_cell	103
Neutrophil	Endothelium	216
Neutrophil	Epithelium	171
Neutrophil	Macrophage	209
Neutrophil	Myeloid_Dendritic_cell	116
Neutrophil	NK_NKT_cell	138
Neutrophil	Neutrophil	184
Neutrophil	Plasma_cell	75
Neutrophil	T_cell	119
Plasma_cell	B_cell	9
Plasma_cell	BC_cell	19
Plasma_cell	BCS_Fibroblast	111
Plasma_cell	Dendritic_cell	31
Plasma_cell	Endothelium	107
Plasma_cell	Epithelium	93
Plasma_cell	Macrophage	89
Plasma_cell	Myeloid_Dendritic_cell	18
Plasma_cell	NK_NKT_cell	46
Plasma_cell	Neutrophil	98
Plasma_cell	Plasma_cell	8
Plasma_cell	T_cell	34
T_cell	B_cell	44
T_cell	BC_cell	58
T_cell	BCS_Fibroblast	141
T_cell	Dendritic_cell	69
T_cell	Endothelium	146
T_cell	Epithelium	104
T_cell	Macrophage	156
T_cell	Myeloid_Dendritic_cell	81
T_cell	NK_NKT_cell	98
T_cell	Neutrophil	138
T_cell	Plasma_cell	40
T_cell	T_cell	81
